id	sign_name	sign_reading	preferred_reading	period_id	provenience_id	language_id	meaning
321	EN2	en2	1	NULL	NULL	NULL	n. incantation
322	LI	en3	1	NULL	NULL	NULL	
323	IN	en6	1	NULL	NULL	NULL	
324	SZA	en8	1	NULL	NULL	NULL	abbreviation of en3
325	APIN	engar	1	NULL	NULL	NULL	n. cultivator
326	|EN.ME.GI|	engiz	1	NULL	NULL	NULL	n. a type of cook?
327	|EN.GI|	engizx	1	NULL	NULL	NULL	n. a type of cook?
328	ENGUR	engur	1	NULL	NULL	NULL	n. freshwater
329	|ZAG.HA|	enku	1	NULL	NULL	NULL	
330	|EN.ME.LI|	ensi	1	NULL	NULL	NULL	n. deviner, dream interpreter
331	|PA.TE.SI|	ensi2	1	NULL	NULL	NULL	n. governor
332	|(ENxME).LI|	ensi3	1	NULL	NULL	NULL	n. deviner, dream interpreter
333	IB	ep	1	NULL	NULL	NULL	
334	SIG	epig	1	NULL	NULL	NULL	n. vessel for water for animals
335	DUG	epir	1	NULL	NULL	NULL	
336	BI	epir2	1	NULL	NULL	NULL	
337	IG	eq	1	NULL	NULL	NULL	
338	IR	er	1	NULL	NULL	NULL	
339	ARAD2	er11	1	NULL	NULL	NULL	n. servant
340	|A.IGI|	er2	1	NULL	NULL	NULL	n. tears
341	ARAD	er3	1	NULL	NULL	NULL	n. servant
342	GIR3	er9	1	NULL	NULL	NULL	
343	UNUG	eri11	1	NULL	NULL	NULL	
344	NUN	eridu	1	NULL	NULL	NULL	gn. Eridu
345	|NE.RU|	erim2	1	NULL	NULL	NULL	n. oath
346	ERIM4	erim4	1	NULL	NULL	NULL	
347	EREN	erin	1	NULL	NULL	NULL	n. cedar
348	ERIM	erin2	1	NULL	NULL	NULL	n. troop of workmen or soldiers
349	KWU896	erinx	1	NULL	NULL	NULL	
350	NIN	erisz	1	NULL	NULL	NULL	n. emesal lady
351	NAGA	erisz2	1	NULL	NULL	NULL	gn.
352	GISZ	es	1	NULL	NULL	NULL	
353	ESZ	es2	1	NULL	NULL	NULL	
354	ISZ	es2	1	NULL	NULL	NULL	
355	AB	es3	1	NULL	NULL	NULL	
356	KAL	esi	1	NULL	NULL	NULL	n. ebony
357	|LAGAB.KUL|	esir	1	NULL	NULL	NULL	
358	ESIR2	esir2	1	NULL	NULL	NULL	n. bitumen
359	ESZ	esz	1	NULL	NULL	NULL	adj. three; v. pl. marker
360	|GE23(ASZ@t)|	esz18	1	NULL	NULL	NULL	
361	SZE3	esz2	1	NULL	NULL	NULL	n. rope; tt. metrological unit (length) 10 ninda
362	AB	esz3	1	NULL	NULL	NULL	n. shrine, temple
363	DISZ	esz4	1	NULL	NULL	NULL	
364	ESZ5	esz5	1	NULL	NULL	NULL	
365	KASKAL	esz8	1	NULL	NULL	NULL	
366	|A.TIR|	esza	1	NULL	NULL	NULL	n. type of grain
367	ESZ5	esza5	1	NULL	NULL	NULL	
368	BAD	esze3	1	NULL	NULL	NULL	tt. area measurement = 6 iku
369	GU4	esztub	1	NULL	NULL	NULL	n. type of fish
370	GISZ	ez	1	NULL	NULL	NULL	
371	EZEN	ezem	1	NULL	NULL	NULL	n. festival
372	GA	ga	1	NULL	NULL	NULL	n. milk; vp. cohortative
373	GA2	ga2	1	NULL	NULL	NULL	n. box, basket
374	GAN3	ga3	1	NULL	NULL	NULL	
375	IL2	ga6	1	NULL	NULL	NULL	v. to transport
376	GAB	gab	1	NULL	NULL	NULL	n. breast, chest, side
377	KAB	gab2	1	NULL	NULL	NULL	
378	NAG	gab3	1	NULL	NULL	NULL	v. to check
379	GAB	gaba	1	NULL	NULL	NULL	n. breast, chest, side
380	|PA.DAG.(KISIM5xGAG)|	gabar	1	NULL	NULL	NULL	
381	GAD	gada	1	NULL	NULL	NULL	n. flax, linen
382	GAG	gag	1	NULL	NULL	NULL	n. nail
383	GAL	gal	1	NULL	NULL	NULL	adj. large
384	IG	gal2	1	NULL	NULL	NULL	v. to be present
385	MUNUS	gal4	1	NULL	NULL	NULL	n. vulva
386	TE	gal5	1	NULL	NULL	NULL	
387	|USZ.KU|	gala	1	NULL	NULL	NULL	n. singer, castratus
388	GALAM	galam	1	NULL	NULL	NULL	adj. clever
389	GAM	gam	1	NULL	NULL	NULL	v. to bend, kneel
390	KAM	gam2	1	NULL	NULL	NULL	
391	GAM3	gam3	1	NULL	NULL	NULL	n. sickle, handle
392	|DIN.TIR|	gamun	1	NULL	NULL	NULL	n. a kind of bird, a kind of herb (cumin)
393	TIR	gamun2	1	NULL	NULL	NULL	n. a kind of bird, a kind of herb (cumin)
394	GAN	gan	1	NULL	NULL	NULL	
395	GAN2	gan2	1	NULL	NULL	NULL	n. field, area; tt. irrigated lnd
396	|KI.LAM|	ganba	1	NULL	NULL	NULL	n. marketplace, value
397	GANUN	ganun	1	NULL	NULL	NULL	n. storehouse
398	NIG2	gar	1	NULL	NULL	NULL	v. to put, place, set (hamtu)
399	GAR3	gar3	1	NULL	NULL	NULL	
400	GU4	gar4	1	NULL	NULL	NULL	
401	GUG2	gar5	1	NULL	NULL	NULL	
402	SIG4	gar8	1	NULL	NULL	NULL	
403	GAR2	gara2	1	NULL	NULL	NULL	n. cream
404	ZUM2	garig2	1	NULL	NULL	NULL	n. cream
405	|ZUM.SI|	garigx	1	NULL	NULL	NULL	n. cream
406	|PA.AN|	garza	1	NULL	NULL	NULL	
407	|NUN.ME.TAG|	gaszam	1	NULL	NULL	NULL	n. artisan
408	|ME.NUN.TAG|	gaszamx	1	NULL	NULL	NULL	n. artisan
409	GAZ	gaz	1	NULL	NULL	NULL	v. to grind
410	|GA2xASZ2|	gazi	1	NULL	NULL	NULL	n. a spice, condiment, sumac?
411	KUM	gazx	1	NULL	NULL	NULL	
412	GI	ge	1	NULL	NULL	NULL	
413	KID	ge2	1	NULL	NULL	NULL	
414	GA2	ge26	1	NULL	NULL	NULL	
415	GI4	ge4	1	NULL	NULL	NULL	
416	KI	ge5	1	NULL	NULL	NULL	n. earth, place, area, location
417	MI	ge6	1	NULL	NULL	NULL	n. night, darkness
418	NE	ge9	1	NULL	NULL	NULL	
419	GEME2	geme2	1	NULL	NULL	NULL	n. slave woman
420	DU	gen	1	NULL	NULL	NULL	v. to go (hamtu)
421	KUR	gen3	1	NULL	NULL	NULL	
422	GISZ	gesz	1	NULL	NULL	NULL	n. wood
423	DISZ	gesz2	1	NULL	NULL	NULL	n. sixty
424	USZ	gesz3	1	NULL	NULL	NULL	n. penis
425	|SZU.BULUG3|	geszba2	1	NULL	NULL	NULL	
426	|KI.BI.NIG2|	geszbun	1	NULL	NULL	NULL	
